id,modified,datasetid,institutioncode,collectioncode,eventid,datecollected,seasoncollected,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,startdecimallatitude,enddecimallatitude,coordinateuncertaintyinmeters,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificname,scientificnameid,aphiaid,rankname,scientificnameaccepted,scientificnameauthorship,aphiaidaccepted,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid
34646820,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-1115,Nuculana pella,urn:lsid:marinespecies.org:taxname:140578,http://marinespecies.org/aphia.php?p=taxdetails&id=140578,Species,Lembulus pella,"(Linnaeus, 1758)",http://marinespecies.org/aphia.php?p=taxdetails&id=236686,Animalia,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Lembulus,,pella,,Antit et al. 2012; Name in original file: Nuculana pella,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-1115,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646821,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-149,Kurtiella bidentata,urn:lsid:marinespecies.org:taxname:345281,http://marinespecies.org/aphia.php?p=taxdetails&id=345281,Species,Kurtiella bidentata,"(Montagu, 1803)",http://marinespecies.org/aphia.php?p=taxdetails&id=345281,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,,bidentata,,Antit et al. 2012; Name in original file: Kurtiella bidentata,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-149,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646822,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-261,Ringicula conformis,urn:lsid:marinespecies.org:taxname:156379,http://marinespecies.org/aphia.php?p=taxdetails&id=156379,Species,Ringicula conformis,"Monterosato, 1877",http://marinespecies.org/aphia.php?p=taxdetails&id=156379,Animalia,Mollusca,Gastropoda,,Ringiculidae,Ringicula,,conformis,,Antit et al. 2012; Name in original file: Ringicula conformis,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-261,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646823,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-914,Loripes lucinalis,urn:lsid:marinespecies.org:taxname:152887,http://marinespecies.org/aphia.php?p=taxdetails&id=152887,Species,Loripes orbiculatus,"Poli, 1795",http://marinespecies.org/aphia.php?p=taxdetails&id=875379,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Loripes,,orbiculatus,,Antit et al. 2012; Name in original file: Loripes lacteus,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-914,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646824,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-835,Gibbula leucophaea,urn:lsid:marinespecies.org:taxname:141789,http://marinespecies.org/aphia.php?p=taxdetails&id=141789,Species,Steromphala leucophaea,"(R. A. Philippi, 1836)",http://marinespecies.org/aphia.php?p=taxdetails&id=1477345,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Steromphala,,leucophaea,,Antit et al. 2012; Name in original file: Gibbula leucophaea,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-835,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646825,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-16,Volvulella acuminata,urn:lsid:marinespecies.org:taxname:141139,http://marinespecies.org/aphia.php?p=taxdetails&id=141139,Species,Volvulella acuminata,"(Bruguière, 1792)",http://marinespecies.org/aphia.php?p=taxdetails&id=141139,Animalia,Mollusca,Gastropoda,Cephalaspidea,Rhizoridae,Volvulella,,acuminata,,Antit et al. 2012; Name in original file: Volvulella acuminata,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-16,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646826,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-609,Alvania geryonia,urn:lsid:marinespecies.org:taxname:141191,http://marinespecies.org/aphia.php?p=taxdetails&id=141191,Species,Alvania geryonia,"(Nardo, 1847)",http://marinespecies.org/aphia.php?p=taxdetails&id=141191,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,geryonia,,Antit et al. 2012; Name in original file: Alvania geryonia,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-609,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646827,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-334,Manzonia crassa,urn:lsid:marinespecies.org:taxname:141291,http://marinespecies.org/aphia.php?p=taxdetails&id=141291,Species,Manzonia crassa,"(Kanmacher, 1798)",http://marinespecies.org/aphia.php?p=taxdetails&id=141291,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Manzonia,,crassa,,Antit et al. 2012; Name in original file: Manzonia crassa,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-334,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646828,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_1-2,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_1-2,10.31931,,,36.823325,,,300,,1,2,TUN-Mollusca_Mediterranean_LiteratureData-335,Manzonia crassa,urn:lsid:marinespecies.org:taxname:141291,http://marinespecies.org/aphia.php?p=taxdetails&id=141291,Species,Manzonia crassa,"(Kanmacher, 1798)",http://marinespecies.org/aphia.php?p=taxdetails&id=141291,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Manzonia,,crassa,,Antit et al. 2013; Name in original file: Manzonia crassa,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-335,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646829,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-113,Rissoa auriscalpium,urn:lsid:marinespecies.org:taxname:141348,http://marinespecies.org/aphia.php?p=taxdetails&id=141348,Species,Rissoa auriscalpium,"(Linnaeus, 1758)",http://marinespecies.org/aphia.php?p=taxdetails&id=141348,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,auriscalpium,,Antit et al. 2012; Name in original file: Rissoa auriscalpium,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-113,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646830,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-1200,Tricolia pullus,urn:lsid:marinespecies.org:taxname:141700,http://marinespecies.org/aphia.php?p=taxdetails&id=141700,Species,Tricolia pullus,"(Linnaeus, 1758)",http://marinespecies.org/aphia.php?p=taxdetails&id=141700,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Tricolia,,pullus,,Antit et al. 2012; Name in original file: Tricolia pullus,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-1200,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
34646831,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Tunis town_2009-2010_3-15,,,,2009,2010,,,,,,,,,,,,,,,,Tunis town_2009-2010_3-15,10.31931,,,36.823325,,,300,,3,15,TUN-Mollusca_Mediterranean_LiteratureData-639,Vermetus granulatus,urn:lsid:marinespecies.org:taxname:141941,http://marinespecies.org/aphia.php?p=taxdetails&id=141941,Species,Vermetus granulatus,"(Gravenhorst, 1831)",http://marinespecies.org/aphia.php?p=taxdetails&id=141941,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Vermetus,,granulatus,,Antit et al. 2012; Name in original file: Vermetus granulatus,HumanObservation,,TUN-Mollusca_Mediterranean_LiteratureData-639,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
