parameterName,parameterID,parameterPreferredLabel,parameterDefinition,parameterUnit,parameterUnitID,originalMeasurementType,originalMeasurementUnit,conversionFactor,datasetID,datasetIPTurl
"BedAbund (#/m^2)",http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/,"Abundance of biological entity specified elsewhere per unit area of the bed","The number of an identified biological object described elsewhere in the metadata occurring in a given area of the seabed.",#/m^2,http://vocab.nerc.ac.uk/collection/P06/current/UPMS/,,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,http://ipt.vliz.be/eurobis/archive?r=benthic_data_sevastopol
"BedWetWtBiom (g/m^2)",http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,"Wet weight biomass of biological entity specified elsewhere per unit area of the bed","The mass as caught of an identified biological object described elsewhere in the metadata occurring in a given area of the seabed.",g/m^2,http://vocab.nerc.ac.uk/collection/P06/current/UGMS/,,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,http://ipt.vliz.be/eurobis/archive?r=benthic_data_sevastopol
